Date	Ping	Down	Up
20160802 18:00:00	12.167	90.81	28.99
20160802 18:30:00	10.812	93.23	26.21
20160802 19:00:00	12.468	91.89	27.87
20160802 19:30:00	12.104	92.99	26.93
20160802 20:00:00	13.704	88.88	22.44
20160802 20:30:00	12.167	91.25	28.25
20160802 21:00:00	12.683	83.76	25.58
20160802 21:30:00	25.197	87.48	27.45
20160802 22:00:00	11.749	89.27	27.75
20160802 22:30:00	12.481	92.35	24.32
20160802 23:00:00	119.936	88.73	28.13
20160802 23:30:00	13.119	92.24	25.29
20160803 00:00:00	13.079	93.32	28.53
20160803 00:30:01	12.423	93.11	25.27
20160803 01:00:01	9.914	91.92	28.84
20160803 01:30:00	12.594	91.29	30.13
20160803 02:00:00	12.332	89.92	28.16
20160803 02:30:00	12.329	92.06	22.93
20160803 03:00:00	12.027	93.00	27.60
20160803 03:30:00	11.98	91.89	27.99
20160803 04:00:01	12.883	92.86	27.05
20160803 04:30:00	12.047	92.81	29.12
20160803 05:00:00	11.839	93.63	26.77
20160803 05:30:00	12.153	92.42	27.75
20160803 06:00:00	12.818	88.64	25.43
20160803 06:30:01	12.323	93.06	28.28
20160803 07:00:00	11.25	92.64	26.84
20160803 07:30:00	12.016	91.44	24.61
20160803 08:00:00	14.085	93.00	24.55
20160803 08:30:00	12.515	93.94	27.24
20160803 09:00:00	13.323	91.19	26.76
20160803 09:30:00	13.111	93.61	28.61
20160803 10:00:00	12.164	90.25	27.55
20160803 10:30:00	12.391	87.77	27.19
20160803 11:00:00	14.568	91.51	28.56
20160803 11:30:01	12.656	83.04	26.71
20160803 12:00:00	12.731	91.67	27.88
20160803 12:30:00	12.144	92.18	26.72
20160803 13:00:00	13.279	91.17	24.99
20160803 13:30:00	13.509	92.48	27.79
20160803 14:00:00	11.809	92.15	27.23
20160803 14:30:00	12.031	92.93	27.23
20160803 15:00:01	12.964	92.95	27.56
20160803 15:30:00	11.75	91.95	27.33
20160803 16:00:00	13.068	90.84	27.34
20160803 16:30:00	11.912	90.78	26.68
20160803 17:00:00	12.671	91.74	28.47
20160803 17:30:00	12.419	90.41	27.82
20160803 18:00:01	11.318	89.43	27.47
20160803 18:30:00	13.619	92.26	26.44
20160803 19:00:00	12.648	92.99	29.56
20160803 19:30:01	12.596	84.78	28.01
20160803 20:00:00	25.204	81.15	27.94
20160803 20:30:00	25.524	82.96	19.15
20160803 21:00:00	51.376	53.28	17.24
20160803 21:30:00	12.112	88.95	27.54
20160803 22:00:00	22.48	80.23	21.50
20160803 22:30:00	13.407	92.28	24.02
20160803 23:00:00	15.566	88.17	27.81
20160803 23:30:00	12.421	88.57	25.35
20160804 00:00:00	13.692	92.46	24.16
20160804 00:30:00	35.24	93.05	26.80
20160804 01:00:00	16.424	89.66	28.31
20160804 01:30:00	12.443	90.37	27.42
20160804 02:00:00	12.434	90.95	29.40
20160804 02:30:01	22.972	91.66	28.01
20160804 03:00:00	12.355	91.55	25.06
20160804 03:30:01	12.669	93.50	25.54
20160804 04:00:00	12.041	90.04	23.82
20160804 04:30:00	12.411	91.43	25.74
20160804 05:00:00	13.497	93.13	28.39
20160804 05:30:00	15.391	92.63	25.08
20160804 06:00:00	10.922	93.50	29.23
20160804 06:30:00	15.133	91.23	25.29
20160804 07:00:01	82.74	93.94	28.72
20160804 07:30:00	12.818	91.24	25.75
20160804 08:00:01	12.098	93.03	23.91
20160804 08:30:00	10.182	92.98	29.99
20160804 09:00:00	13.371	91.75	28.32
20160804 09:30:00	21.907	90.88	25.63
20160804 10:00:01	12.4	91.14	27.78
20160804 10:30:00	11.825	91.44	27.58
20160804 11:00:00	12.443	91.82	26.57
20160804 11:30:00	12.463	93.12	27.81
20160804 12:00:00	14.997	92.38	28.21
20160804 12:30:00	14.31	86.97	24.40
20160804 13:00:00	13.173	85.18	27.33
20160804 13:30:00	15.159	86.96	26.23
20160804 14:00:00	12.416	85.13	26.45
20160804 14:30:00	13.155	89.51	29.36
20160804 15:00:00	12.303	87.46	30.83
20160804 15:30:00	26.907	88.86	26.86
20160804 16:00:00	12.517	92.11	29.79
20160804 16:30:00	12.518	91.35	29.58
20160804 17:00:00	12.058	91.73	25.52
20160804 17:30:00	12.454	93.25	26.39
20160804 18:00:00	12.599	92.42	25.82
20160804 18:30:00	12.881	93.43	27.64
20160804 19:00:00	12.443	93.68	27.28
20160804 19:30:00	12.254	86.47	25.62
20160804 20:00:00	11.613	94.07	27.29
20160804 20:30:00	11.986	92.97	24.81
20160804 21:00:00	12.852	91.18	24.78
20160804 21:30:01	12.687	93.39	30.20
20160804 22:00:01	12.492	91.92	25.52
20160804 22:30:01	12.486	88.67	26.28
20160804 23:00:01	12.623	92.90	26.70
20160804 23:30:00	15.588	94.09	27.49
20160805 00:00:00	12.615	90.93	25.56
20160805 00:30:00	12.786	87.24	28.62
20160805 01:00:00	12.962	93.83	27.57
20160805 01:30:00	12.993	92.54	23.62
20160805 02:00:00	183.213	87.01	28.43
20160805 02:30:00	12.435	88.94	26.94
20160805 03:00:00	262.849	87.61	27.19
20160805 03:30:01	12.754	92.47	28.98
20160805 04:00:00	11.77	92.59	25.81
20160805 04:30:00	12.167	87.48	27.93
20160805 05:00:00	12.422	86.97	26.28
20160805 05:30:00	12.612	93.49	26.36
20160805 06:00:00	12.759	88.33	27.02
20160805 06:30:00	13.114	92.49	27.81
20160805 07:00:00	12.076	88.02	26.38
20160805 07:30:00	12.89	92.69	27.10
20160805 08:00:00	12.529	91.85	29.03
20160805 08:30:00	12.316	92.32	29.09
20160805 09:00:00	12.18	89.90	26.88
20160805 09:30:00	17.213	87.71	28.66
20160805 10:00:00	12.202	93.20	27.45
20160805 10:30:00	12.849	83.74	24.04
20160805 11:00:00	12.564	91.85	24.16
20160805 11:30:00	12.904	92.55	27.75
20160805 12:00:00	12.685	90.44	27.63
20160805 12:30:00	12.254	85.64	26.73
20160805 13:00:00	10.543	86.03	26.86
20160805 13:30:00	21.316	86.36	26.42
20160805 14:00:00	12.796	87.17	25.82
20160805 14:30:00	12.217	82.18	25.23
20160805 15:00:00	13.097	90.12	26.68
20160805 15:30:00	42.599	93.53	29.23
20160805 16:00:00	12.797	92.04	25.96
20160805 16:30:00	12.177	91.91	25.56
20160805 17:00:00	12.273	93.19	26.03
20160805 17:30:00	12.156	91.16	24.79
20160805 18:00:01	11.358	89.45	28.93
20160805 18:30:01	11.55	92.08	28.82
20160805 19:00:00	11.924	91.40	27.25
20160805 19:30:01	12.502	93.17	26.22
20160805 20:00:00	11.977	90.91	29.00
20160805 20:30:01	13.174	88.47	27.75
20160805 21:00:00	25.094	81.48	25.84
20160805 21:30:00	14.205	82.84	22.07
20160805 22:00:00	13.145	90.64	24.23
20160805 22:30:01	11.885	91.63	24.90
20160805 23:00:00	12.577	92.13	27.92
20160805 23:30:00	12.535	89.44	28.01
20160806 00:00:00	12.757	89.86	26.74
20160806 00:30:00	13.506	88.07	27.13
20160806 01:00:01	92.923	92.07	28.57
20160806 01:30:00	12.286	91.70	27.34
20160806 02:00:00	22.248	90.24	28.73
20160806 02:30:00	14.888	91.01	28.36
20160806 03:00:00	11.932	93.23	25.66
20160806 03:30:00	11.705	92.52	26.91
20160806 04:00:00	12.251	92.76	28.30
20160806 04:30:00	12.503	91.14	28.86
20160806 05:00:00	12.05	92.86	25.95
20160806 05:30:01	12.323	89.80	27.08
20160806 06:00:01	14.064	90.91	23.77
20160806 06:30:00	12.003	92.64	25.70
20160806 07:00:00	12.733	90.61	29.31
20160806 07:30:00	11.95	93.19	26.45
20160806 08:00:00	12.248	92.82	29.42
20160806 08:30:00	16.148	92.84	26.19
20160806 09:00:00	12.082	92.44	26.73
20160806 09:30:00	13.615	90.99	26.52
20160806 10:00:00	13.041	92.23	24.36
20160806 10:30:01	12.049	93.06	25.43
20160806 11:00:00	15.119	93.84	31.29
20160806 11:30:00	11.556	91.59	28.95
20160806 12:00:00	12.463	90.07	27.81
20160806 12:30:00	12.119	93.67	24.54
20160806 13:00:00	12.704	89.99	25.09
20160806 13:30:00	13.016	93.03	27.25
20160806 14:00:00	14.501	92.62	27.61
20160806 14:30:00	11.534	89.21	27.18
20160806 15:00:00	12.566	88.21	26.12
20160806 15:30:00	12.216	90.68	27.14
20160806 16:00:00	122.112	91.80	26.83
20160806 16:30:00	11.724	93.76	26.55
20160806 17:00:01	12.596	92.73	28.52
20160806 17:30:00	12.996	93.49	28.03
20160806 18:00:00	12.335	93.72	25.75
20160806 18:30:01	12.806	92.44	28.31
20160806 19:00:00	12.999	93.14	26.07
20160806 19:30:00	12.095	90.34	27.20
20160806 20:00:00	18.129	83.53	24.17
20160806 20:30:00	14.427	89.73	25.17
20160806 21:00:00	10.711	84.98	30.64
20160806 21:30:00	12.837	85.54	24.23
20160806 22:00:00	28.267	87.26	26.38
20160806 22:30:00	12.35	93.68	25.23
20160806 23:00:00	10.98	92.20	26.98
20160806 23:30:01	11.311	90.21	27.42
20160807 00:00:00	12.112	93.73	29.41
20160807 00:30:00	11.254	92.79	29.58
20160807 01:00:01	12.307	92.22	25.99
20160807 01:30:00	11.87	92.91	26.92
20160807 02:00:00	172.662	93.43	29.18
20160807 02:30:00	11.735	91.96	27.74
20160807 03:00:01	12.435	93.86	26.53
20160807 03:30:01	12.318	91.70	24.77
20160807 04:00:00	11.774	89.12	27.42
20160807 04:30:01	12.794	89.42	26.66
20160807 05:00:00	12.533	92.45	26.59
20160807 05:30:00	12.717	90.20	24.36
20160807 06:00:01	11.797	93.53	26.86
20160807 06:30:00	21.534	87.20	24.93
20160807 07:00:00	12.437	93.51	25.94
20160807 07:30:01	12.12	93.02	27.93
20160807 08:00:00	11.875	89.25	27.53
20160807 08:30:00	12.211	92.71	27.31
20160807 09:00:00	14.315	88.94	28.42
20160807 09:30:00	11.905	91.68	26.74
20160807 10:00:00	12.437	92.92	27.42
20160807 10:30:00	12.898	94.02	27.51
20160807 11:00:01	19.802	89.00	26.18
20160807 11:30:00	11.976	91.45	27.50
20160807 12:00:01	12.32	87.25	29.15
20160807 12:30:00	12.175	90.44	28.24
20160807 13:00:00	12.386	88.52	29.00
20160807 13:30:00	11.376	92.94	25.30
20160807 14:00:00	21.498	93.27	25.21
20160807 14:30:00	10.709	93.46	27.35
20160807 15:00:00	12.672	92.44	26.92
20160807 15:30:00	12.707	93.02	25.05
20160807 16:00:00	45.157	90.11	26.85
20160807 16:30:00	12.431	93.17	23.89
20160807 17:00:00	12.172	90.05	28.22
20160807 17:30:00	12.883	87.50	26.49
20160807 18:00:01	29.798	79.48	19.42
20160807 18:30:00	21.679	89.43	25.29
20160807 19:00:00	13.023	85.26	28.15
20160807 19:30:00	12.956	74.26	26.49
20160807 20:00:01	13.126	85.34	27.25
20160807 20:30:00	11.269	87.32	26.01
20160807 21:00:00	35.394	80.47	21.93
20160807 21:30:01	15.707	88.46	27.31
20160807 22:00:00	12.346	84.18	22.53
20160807 22:30:00	28.257	88.91	27.68
20160807 23:00:00	12.049	91.57	25.63
20160807 23:30:00	12.547	87.46	28.92
20160808 00:00:00	12.134	89.75	26.91
20160808 00:30:00	12.39	92.96	29.26
20160808 01:00:00	11.674	91.58	26.79
20160808 01:30:00	12.503	91.10	29.63
20160808 02:00:00	11.864	92.57	27.04
20160808 02:30:00	12.092	92.31	27.04
20160808 03:00:00	12.783	93.48	25.98
20160808 03:30:00	12.74	92.92	24.06
20160808 04:00:00	15.964	93.79	26.05
20160808 04:30:00	12.42	91.51	25.90
20160808 05:00:00	12.919	91.04	27.67
20160808 05:30:00	11.653	92.00	27.98
20160808 06:00:00	11.472	89.77	27.49
20160808 06:30:00	12.496	89.35	24.43
20160808 07:00:00	12.845	93.62	26.81
20160808 07:30:00	26.0	93.40	25.90
20160808 08:00:01	12.209	87.34	28.24
20160808 08:30:00	12.085	93.37	29.48
20160808 09:00:00	12.285	90.38	26.20
20160808 09:30:00	13.794	89.69	24.67
20160808 10:00:01	14.814	91.63	28.28
20160808 10:30:00	11.992	84.03	27.02
20160808 11:00:00	12.878	92.16	25.99
20160808 11:30:00	12.445	91.05	29.12
20160808 12:00:00	12.703	92.87	25.00
20160808 12:30:00	12.221	91.72	26.74
20160808 13:00:00	19.488	89.26	28.32
20160808 13:30:01	15.772	89.22	26.16
20160808 14:00:00	12.715	90.87	27.24
20160808 14:30:00	12.649	91.31	25.88
20160808 15:00:00	12.08	88.56	27.04
20160808 15:30:01	23.536	91.43	26.92
20160808 16:00:00	11.797	92.88	28.65
20160808 16:30:01	11.79	91.95	26.78
20160808 17:00:00	12.295	92.95	29.08
20160808 17:30:00	11.912	84.45	26.95
20160808 18:00:00	12.293	90.69	26.88
20160808 18:30:00	13.54	87.79	24.84
20160808 19:00:00	12.324	90.04	26.82
20160808 19:30:00	11.273	92.93	29.98
20160808 20:00:00	12.604	92.10	27.20
20160808 20:30:01	40.124	78.88	20.80
20160808 21:00:00	16.04	80.20	23.59
20160808 21:30:00	23.57	88.30	25.63
20160808 22:00:00	12.868	87.65	29.32
20160808 22:30:00	11.937	86.26	27.40
20160808 23:00:00	19.502	93.49	25.07
20160808 23:30:00	12.55	93.50	27.81
20160809 00:00:00	12.638	92.21	28.80
20160809 00:30:00	19.263	92.74	26.21
20160809 01:00:00	12.178	93.63	23.90
20160809 01:30:00	12.519	91.48	26.48
20160809 02:00:00	11.904	93.06	27.37
20160809 02:30:00	11.976	92.36	26.92
20160809 03:00:00	12.827	92.13	28.43
20160809 03:30:00	12.153	93.10	27.26
20160809 04:00:00	12.197	88.45	27.21
20160809 04:30:01	11.909	92.97	27.38
20160809 05:00:00	12.455	91.06	27.82
20160809 05:30:00	12.139	93.45	27.16
20160809 06:00:00	13.261	92.36	28.51
20160809 06:30:00	13.18	90.06	25.82
20160809 07:00:01	11.983	93.00	26.22
20160809 07:30:00	17.362	92.08	28.79
20160809 08:00:00	12.413	92.56	25.86
20160809 08:30:01	12.215	92.70	28.20
20160809 09:00:00	131.197	92.29	27.58
20160809 09:30:00	13.045	92.74	23.85
20160809 10:00:00	18.918	94.15	23.57
20160809 10:30:00	12.853	93.39	28.70
20160809 11:00:00	11.686	89.52	28.09
20160809 11:30:00	12.297	90.52	25.15
20160809 12:00:00	11.833	92.83	30.18
20160809 12:30:00	12.174	92.16	26.01
20160809 13:00:01	18.96	91.54	27.81
20160809 13:30:00	14.864	93.39	25.16
20160809 14:00:00	12.063	92.40	26.51
20160809 14:30:00	12.923	92.09	27.42
20160809 15:00:00	12.092	92.25	26.44
20160809 15:30:00	12.16	92.06	27.66
20160809 16:00:00	12.096	86.00	24.42
20160809 16:30:00	11.907	92.43	26.50
20160809 17:00:00	23.346	89.32	27.08
20160809 17:30:00	12.775	91.69	26.65
20160809 18:00:00	12.033	89.84	25.47
20160809 18:30:00	12.358	92.64	24.18
20160809 19:00:01	11.398	88.69	29.45
20160809 19:30:00	13.498	85.58	27.04
20160809 20:00:00	52.184	77.21	21.96
20160809 20:30:01	25.987	78.88	18.49
20160809 21:00:01	80.059	58.22	20.98
20160809 21:30:01	145.422	44.04	12.34
20160809 22:00:00	23.116	84.66	25.28
20160809 22:30:01	12.48	92.24	25.89
20160809 23:00:00	12.251	92.86	27.22
20160809 23:30:00	11.907	91.04	29.85
20160810 00:00:00	12.494	93.65	25.96
20160810 00:30:00	12.053	87.96	26.70
20160810 01:00:00	12.366	89.65	25.88
20160810 01:30:00	11.988	88.74	29.36
20160810 02:00:00	25.011	91.82	28.80
20160810 02:30:00	13.014	88.72	27.93
20160810 03:00:00	20.708	90.96	28.99
20160810 03:30:00	12.107	94.04	26.65
20160810 04:00:00	11.873	88.03	30.08
20160810 04:30:01	11.824	93.47	26.89
20160810 05:00:00	13.366	89.55	26.09
20160810 05:30:00	19.786	92.64	27.68
20160810 06:00:00	12.265	92.37	27.99
20160810 06:30:00	12.912	92.51	28.15
20160810 07:00:00	12.165	91.13	25.57
20160810 07:30:00	12.127	91.56	26.45
20160810 08:00:00	12.704	94.03	26.23
20160810 08:30:00	12.566	88.34	28.32
20160810 09:00:00	12.944	90.28	26.92
20160810 09:30:00	12.494	91.59	26.92
20160810 10:00:00	11.864	92.82	26.31
20160810 10:30:00	11.85	88.09	26.42
20160810 11:00:01	12.474	92.18	26.89
20160810 11:30:01	12.734	92.93	29.79
20160810 12:00:00	12.734	92.09	27.19
20160810 12:30:00	11.576	89.40	25.75
20160810 13:00:00	163.835	91.16	27.11
20160810 13:30:00	12.365	91.60	29.54
20160810 14:00:00	98.443	87.78	31.29
20160810 14:30:00	20.855	91.35	27.84
20160810 15:00:00	12.521	93.17	28.79
20160810 15:30:00	12.483	91.13	26.55
20160810 16:00:00	12.587	92.21	28.20
20160810 16:30:00	12.596	92.84	28.99
20160810 17:00:00	12.176	92.58	25.63
20160810 17:30:00	13.081	92.14	26.40
20160810 18:00:00	118.588	92.65	28.26
20160810 18:30:00	11.836	93.51	26.29
20160810 19:00:00	12.239	93.25	25.79
20160810 19:30:00	33.726	81.45	18.65
20160810 20:00:00	28.754	77.40	20.76
20160810 20:30:01	11.821	83.88	28.34
20160810 21:00:00	39.148	79.37	22.04
20160810 21:30:01	45.132	61.74	19.52
20160810 22:00:01	11.275	84.18	25.38
20160810 22:30:01	12.433	90.91	26.64
20160810 23:00:00	12.529	87.66	25.81
20160810 23:30:00	12.205	90.52	27.03
20160811 00:00:00	203.359	92.79	28.70
20160811 00:30:00	12.382	91.12	26.81
20160811 01:00:00	17.584	91.99	25.24
20160811 01:30:00	12.861	90.38	25.03
20160811 02:00:00	12.401	88.90	27.28
20160811 02:30:01	12.718	89.17	27.70
20160811 03:00:00	12.126	91.93	26.84
20160811 03:30:00	12.394	92.08	23.03
20160811 04:00:00	22.743	93.12	28.50
20160811 04:30:01	12.175	92.37	27.05
20160811 05:00:00	10.616	89.45	26.99
20160811 05:30:00	12.424	85.69	24.56
20160811 06:00:00	12.507	85.64	25.82
20160811 06:30:00	11.118	90.45	27.64
20160811 07:00:00	24.224	92.26	28.97
20160811 07:30:00	23.393	92.95	29.06
20160811 08:00:00	11.412	93.85	27.25
20160811 08:30:00	12.23	91.77	27.43
20160811 09:00:00	20.82	93.04	28.96
20160811 09:30:00	16.08	93.58	29.74
20160811 10:00:00	11.881	90.28	27.57
20160811 10:30:00	12.837	88.92	29.45
20160811 11:00:00	19.497	92.23	25.37
20160811 11:30:00	12.733	91.97	25.56
20160811 12:00:00	13.056	92.44	26.90
20160811 12:30:01	13.034	84.32	26.76
20160811 13:00:00	12.932	90.25	27.21
20160811 13:30:00	11.428	93.49	25.27
20160811 14:00:00	13.105	89.62	25.69
20160811 14:30:00	12.66	90.68	25.27
20160811 15:00:01	12.215	86.39	26.40
20160811 15:30:00	21.646	84.69	26.51
20160811 16:00:00	12.854	90.32	24.75
20160811 16:30:00	12.429	91.83	28.29
20160811 17:00:00	11.296	92.66	28.18
20160811 17:30:01	12.532	92.67	28.35
20160811 18:00:00	12.334	91.14	27.69
20160811 18:30:00	12.499	89.00	25.70
20160811 19:00:00	12.819	93.32	28.95
20160811 19:30:00	10.653	91.07	27.72
20160811 20:00:00	12.462	67.93	22.38
20160811 20:30:00	58.83	72.27	19.54
20160811 21:00:01	66.511	74.18	21.74
20160811 21:30:00	19.023	90.03	28.88
20160811 22:00:01	15.083	85.42	27.50
20160811 22:30:01	11.911	92.50	27.24
20160811 23:00:00	12.095	92.65	26.82
20160811 23:30:00	11.36	91.85	27.66
20160812 00:00:00	12.458	92.90	29.85
20160812 00:30:00	11.137	92.74	29.42
20160812 01:00:00	12.277	90.23	27.54
20160812 01:30:00	12.163	88.85	27.41
20160812 02:00:00	11.933	89.58	24.58
20160812 02:30:00	12.916	92.10	29.40
20160812 03:00:00	13.033	93.53	24.46
20160812 03:30:00	12.531	92.00	27.32
20160812 04:00:00	11.668	88.44	27.19
20160812 04:30:00	11.984	92.62	26.41
20160812 05:00:00	12.026	92.78	26.36
20160812 05:30:00	12.365	94.03	24.81
20160812 06:00:01	12.778	89.59	27.63
20160812 06:30:00	12.484	91.92	28.19
20160812 07:00:00	13.9	89.49	26.41
20160812 07:30:01	12.058	94.04	30.85
20160812 08:00:00	11.978	89.25	24.80
20160812 08:30:00	12.575	91.38	27.90
20160812 09:00:00	12.165	92.91	29.51
20160812 09:30:00	11.949	87.75	28.30
20160812 10:00:00	23.091	88.91	25.27
20160812 10:30:00	12.636	87.47	26.25
20160812 11:00:01	12.776	91.36	28.74
20160812 11:30:00	12.82	87.65	26.33
20160812 12:00:00	13.0	88.03	25.79
20160812 12:30:00	12.345	90.19	26.19
20160812 13:00:00	12.341	84.67	24.74
20160812 13:30:00	24.499	87.45	29.23
20160812 14:00:00	13.057	90.13	25.63
20160812 14:30:00	12.482	90.05	25.54
20160812 15:00:01	12.012	83.74	25.86
20160812 15:30:01	12.057	82.60	27.59
20160812 16:00:00	12.436	87.35	28.68
20160812 16:30:00	12.354	90.61	28.17
20160812 17:00:00	12.48	88.23	22.30
20160812 17:30:01	12.754	88.07	24.88
20160812 18:00:00	12.138	90.51	29.13
20160812 18:30:00	12.118	94.10	27.74
20160812 19:00:00	12.155	92.56	28.54
20160812 19:30:00	12.009	91.28	27.55
20160812 20:00:00	12.409	89.14	27.74
20160812 20:30:00	11.965	82.82	25.84
20160812 21:00:00	12.261	80.80	28.00
20160812 21:30:00	12.069	75.33	18.33
20160812 22:00:00	12.497	91.17	27.42
20160812 22:30:00	12.611	86.38	26.86
20160812 23:00:01	12.848	89.23	28.55
20160812 23:30:00	11.367	93.22	25.82
20160813 00:00:01	21.89	92.93	26.29
20160813 00:30:00	11.647	87.23	26.75
20160813 01:00:00	12.054	91.72	26.71
20160813 01:30:00	12.198	90.02	29.09
20160813 02:00:00	12.645	85.96	24.40
20160813 02:30:00	12.084	91.98	25.52
20160813 03:00:00	11.94	90.57	28.34
20160813 03:30:01	12.528	92.40	23.10
20160813 04:00:00	12.492	87.95	28.41
20160813 04:30:00	11.639	92.62	26.98
20160813 05:00:00	11.812	91.40	26.03
20160813 05:30:00	12.491	91.03	25.72
20160813 06:00:01	12.941	89.56	27.39
20160813 06:30:00	11.827	91.26	27.83
20160813 07:00:00	12.425	91.08	26.75
20160813 07:30:00	12.711	90.87	25.62
20160813 08:00:00	11.93	91.59	28.79
20160813 08:30:00	11.602	90.53	25.33
20160813 09:00:01	12.467	88.68	27.35
20160813 09:30:00	13.567	91.63	26.52
20160813 10:00:00	43.875	90.83	26.01
20160813 10:30:00	12.146	88.36	28.74
20160813 11:00:00	12.62	83.89	26.50
20160813 11:30:00	12.027	88.63	26.45
20160813 12:00:00	12.632	92.00	26.07
20160813 12:30:00	12.204	91.73	23.73
20160813 13:00:00	12.166	88.82	24.54
20160813 13:30:00	12.294	93.23	27.97
20160813 14:00:00	27.041	90.85	25.83
20160813 14:30:00	13.456	90.65	30.50
20160813 15:00:01	12.127	91.53	28.39
20160813 15:30:00	11.693	89.76	26.97
20160813 16:00:00	18.58	88.87	28.51
20160813 16:30:01	100.533	90.11	26.80
20160813 17:00:00	61.783	88.95	27.27
20160813 17:30:00	12.428	88.67	27.41
20160813 18:00:00	12.34	89.90	27.46
20160813 18:30:00	14.376	87.59	26.17
20160813 19:00:01	21.016	91.04	29.20
20160813 19:30:00	11.828	89.25	29.03
20160813 20:00:01	11.758	90.01	27.87
20160813 20:30:00	16.813	88.63	28.65
20160813 21:00:00	12.265	89.52	25.83
20160813 21:30:00	12.423	83.68	20.56
20160813 22:00:00	13.553	87.89	26.39
20160813 22:30:00	12.345	91.31	26.29
20160813 23:00:00	12.487	88.67	30.35
20160813 23:30:00	14.349	90.50	26.96
20160814 00:00:00	11.758	91.66	25.61
20160814 00:30:00	12.483	89.98	29.42
20160814 01:00:00	161.169	89.77	27.89
20160814 01:30:00	11.789	91.23	28.03
20160814 02:00:00	14.841	92.06	26.66
20160814 02:30:01	12.648	92.94	28.20
20160814 03:00:01	12.252	89.64	30.72
20160814 03:30:00	12.372	92.80	28.43
20160814 04:00:00	14.569	92.46	26.96
20160814 04:30:00	11.944	93.45	26.84
20160814 05:00:01	12.07	92.00	28.56
20160814 05:30:00	11.961	93.28	29.09
20160814 06:00:00	11.264	93.12	29.67
20160814 06:30:01	12.224	93.45	29.46
20160814 07:00:00	12.867	92.89	27.03
20160814 07:30:00	12.526	93.95	28.63
20160814 08:00:00	11.875	89.64	29.74
20160814 08:30:00	12.129	91.50	25.82
20160814 09:00:00	22.339	84.81	22.99
20160814 09:30:00	11.525	92.01	30.45
20160814 10:00:00	19.667	93.24	28.66
20160814 10:30:00	12.402	93.71	26.27
20160814 11:00:00	12.348	92.18	31.53
20160814 11:30:00	11.387	89.66	28.23
20160814 12:00:00	11.3	93.13	28.00
20160814 12:30:01	11.226	93.12	28.15
20160814 13:00:00	12.03	92.02	27.05
20160814 13:30:00	11.421	93.47	28.52
20160814 14:00:00	11.475	91.52	26.94
20160814 14:30:01	14.435	88.95	26.50
20160814 15:00:01	12.467	87.24	27.99
20160814 15:30:01	11.987	88.05	26.52
20160814 16:00:00	12.178	88.19	26.97
20160814 16:30:00	12.37	91.16	27.46
20160814 17:00:01	12.635	87.37	27.81
20160814 17:30:00	26.906	80.76	22.51
20160814 18:00:00	12.755	91.94	25.61
20160814 18:30:00	25.186	89.74	27.63
20160814 19:00:00	33.091	82.30	26.21
20160814 19:30:00	12.474	89.90	26.18
20160814 20:00:00	16.781	71.87	18.85
20160814 20:30:01	81.682	59.24	15.65
20160814 21:00:00	98.852	59.10	15.73
20160814 21:30:00	58.639	70.70	19.11
20160814 22:00:00	12.121	93.17	28.41
20160814 22:30:00	12.056	86.24	27.02
20160814 23:00:00	11.958	93.82	25.77
20160814 23:30:00	12.033	92.01	24.51
20160815 00:00:00	12.352	93.29	29.91
20160815 00:30:00	12.005	93.15	24.90
20160815 01:00:00	11.578	93.74	29.68
20160815 01:30:00	11.249	90.21	30.21
20160815 02:00:00	203.442	91.17	25.83
20160815 02:30:00	12.171	90.78	24.70
20160815 03:00:00	12.301	92.70	26.29
20160815 03:30:00	11.621	91.68	24.01
20160815 04:00:00	11.786	92.91	27.77
20160815 04:30:00	12.52	92.57	27.70
20160815 05:00:00	12.421	92.99	26.70
20160815 05:30:00	10.683	92.81	28.54
20160815 06:00:00	10.496	93.27	26.88
20160815 06:30:00	10.492	90.60	27.67
20160815 07:00:00	11.244	92.93	26.93
20160815 07:30:00	11.82	93.75	25.88
20160815 08:00:00	12.23	87.68	27.50
20160815 08:30:00	12.028	92.46	27.79
20160815 09:00:00	12.201	90.47	26.40
20160815 09:30:00	12.461	91.05	28.64
20160815 10:00:00	12.73	90.93	26.43
20160815 10:30:01	13.256	90.76	24.69
20160815 11:00:00	12.546	91.56	25.59
20160815 11:30:00	12.427	91.83	27.67
20160815 12:00:00	13.53	89.48	24.13
20160815 12:30:00	12.5	92.22	27.49
20160815 13:00:00	12.236	92.33	26.13
20160815 13:30:00	13.195	91.46	24.40
20160815 14:00:01	12.292	91.94	27.67
20160815 14:30:01	12.032	91.41	24.44
20160815 15:00:00	12.727	93.49	23.79
20160815 15:30:00	12.601	89.62	31.69
20160815 16:00:00	11.999	93.15	27.27
20160815 16:30:00	10.408	90.75	28.53
20160815 17:00:00	12.68	92.05	27.41
20160815 17:30:00	12.497	88.80	24.38
20160815 18:00:00	12.958	93.23	31.21
20160815 18:30:00	12.882	92.98	27.53
20160815 19:00:00	19.033	82.62	23.18
20160815 19:30:00	12.593	80.13	28.45
20160815 20:00:00	error	error	error
20160815 20:30:00	59.313	65.60	16.57
20160815 21:00:01	129.984	36.88	14.26
20160815 21:30:00	22.615	77.27	13.56
20160815 22:00:01	error	error	error
20160815 22:30:00	error	error	error
20160815 23:00:00	error	error	error
20160815 23:30:00	error	error	error
20160816 00:00:00	error	error	error
